,polyline,value
1,"[[1, -8.585712000000001, 41.148639], [2, -8.585685000000002, 41.148855000000005], [3, -8.585730000000002, 41.14892699999999], [4, -8.585982, 41.148963]]",20.0
0,"[[43, -8.606817, 41.15097899999999], [44, -8.606817, 41.150979]]",13.0
4,"[[3, -8.61075, 41.145909], [4, -8.610596999999999, 41.14605], [5, -8.610443999999998, 41.146191], [6, -8.610444, 41.146191], [7, -8.6102442, 41.1463044], [8, -8.610044400000001, 41.1464178], [9, -8.609844600000002, 41.146531200000005], [10, -8.609644800000003, 41.14664460000001], [11, -8.609445000000004, 41.14675800000001], [12, -8.609445000000001, 41.146758], [13, -8.609262000000001, 41.146878], [14, -8.609079000000001, 41.146998], [16, -8.608896, 41.147118], [17, -8.608968, 41.147127], [18, -8.6088375, 41.1473295]]",26.0
0,"[[1, -8.585730000000002, 41.148828], [2, -8.585721, 41.14897200000001], [3, -8.5860045, 41.14899450000001]]",19.0
0,"[[47, -8.5815, 41.160816000000025], [48, -8.5815, 41.160816]]",11.0
0,"[[23, -8.582949, 41.156991000000005], [24, -8.582949, 41.156991]]",14.0
0,"[[10, -8.582679, 41.15490300000001], [11, -8.582679, 41.154903]]",12.0
0,"[[0, -8.585622, 41.148918], [1, -8.585640000000001, 41.1489], [2, -8.585919, 41.148945]]",15.0
0,"[[0, -8.606529, 41.14467], [1, -8.606673, 41.144724]]",11.0
0,"[[9, -8.586297, 41.14899000000001], [10, -8.586297, 41.148990000000005]]",31.0
0,"[[2, -8.585730000000002, 41.148603]]",28.0
0,"[[29, -8.582931, 41.15579399999999], [30, -8.582931, 41.155794]]",11.0
0,"[[11, -8.587323, 41.149152]]",12.0
0,"[[1, -8.585757000000001, 41.148684], [3, -8.585757000000001, 41.148963]]",31.0
1,"[[2, -8.592438600000001, 41.1505632], [3, -8.592676200000001, 41.1506334], [4, -8.592913800000002, 41.15070359999999], [5, -8.593151400000002, 41.15077379999999], [6, -8.593389000000002, 41.15084399999999], [7, -8.593389, 41.150844], [8, -8.593679250000001, 41.150799]]",16.0
0,"[[219, -8.610912, 41.145399], [220, -8.610912, 41.145354000000005]]",15.0
0,"[[212, -8.6121225, 41.146038], [213, -8.61183, 41.146056], [214, -8.611587, 41.1459345]]",14.0
0,"[[210, -8.612442, 41.146002]]",12.0
0,"[[206, -8.613093, 41.145888], [207, -8.612780999999998, 41.145927]]",12.0
0,"[[204, -8.613639000000001, 41.145921]]",15.0
0,"[[202, -8.613639000000001, 41.145966]]",15.0
0,"[[192, -8.615403, 41.14556100000001], [193, -8.615403, 41.145561]]",20.0
0,"[[186, -8.616512250000003, 41.14522575]]",10.0
0,"[[183, -8.617383, 41.145327]]",10.0
0,"[[180, -8.617644000000002, 41.14566000000001], [181, -8.617513500000003, 41.14549350000001]]",11.0
0,"[[89, -8.631342, 41.152608]]",10.0
0,"[[84, -8.632362000000004, 41.152584], [85, -8.632107000000005, 41.15259], [86, -8.631852000000006, 41.152596]]",12.0
0,"[[19, -8.647011, 41.15420999999999], [20, -8.647011, 41.154210000000006]]",11.0
1,"[[1, -8.633409, 41.1631695], [2, -8.63328, 41.162994000000005], [3, -8.633150999999998, 41.16281850000001], [4, -8.633021999999997, 41.16264300000001]]",16.0
2,"[[13, -8.630269199999999, 41.15743020000001], [14, -8.630087399999999, 41.15729340000001], [15, -8.629905599999999, 41.15715660000001], [16, -8.629723799999999, 41.15701980000001], [17, -8.629541999999999, 41.15688300000001]]",14.0
0,"[[7, -8.630325000000001, 41.158305000000006], [8, -8.630356500000001, 41.15812050000001]]",13.0
17,"[[42, -8.610398999999997, 41.14606500000001], [43, -8.610399, 41.146065], [44, -8.610201, 41.146362], [45, -8.610002999999999, 41.146515], [46, -8.609696999999999, 41.146668], [47, -8.609283000000001, 41.146794], [48, -8.609085, 41.146812], [49, -8.6089545, 41.1469875], [50, -8.608823999999998, 41.147163000000006], [51, -8.608824, 41.147163000000006], [52, -8.60898, 41.147328], [53, -8.609136000000001, 41.147493], [54, -8.609292000000002, 41.14765799999999], [55, -8.609292, 41.147658], [56, -8.6095305, 41.14769625], [57, -8.609769, 41.147734500000006], [58, -8.6100075, 41.14777275000001], [59, -8.610246, 41.14781100000001], [60, -8.610246, 41.147811], [61, -8.610381000000002, 41.147802], [62, -8.610552, 41.14782], [63, -8.6108205, 41.1478485], [64, -8.611089000000002, 41.147877], [65, -8.611357500000002, 41.1479055], [66, -8.611626000000003, 41.147934], [67, -8.611894500000004, 41.1479625], [69, -8.612163, 41.147991], [70, -8.612401725000002, 41.1479802], [71, -8.61264045, 41.1479694], [72, -8.612879175, 41.1479586], [73, -8.613117899999999, 41.1479478], [74, -8.613356624999998, 41.147937000000006], [75, -8.613595349999997, 41.14792620000001], [76, -8.613834074999996, 41.14791540000001], [77, -8.614072799999995, 41.14790460000001], [78, -8.614311524999994, 41.14789380000001], [79, -8.614550249999994, 41.147883000000014], [80, -8.614788974999993, 41.147872200000016], [81, -8.615027699999992, 41.14786140000002], [82, -8.61526642499999, 41.14785060000002], [83, -8.61550514999999, 41.14783980000002], [84, -8.615743874999989, 41.14782900000002], [85, -8.615982599999988, 41.147818200000025], [86, -8.616221324999987, 41.147807400000026], [87, -8.616460049999986, 41.14779660000003], [88, -8.616698774999985, 41.14778580000003], [89, -8.616937499999985, 41.14777500000003], [90, -8.617176224999984, 41.14776420000003], [91, -8.617414949999983, 41.14775340000004], [92, -8.617653674999982, 41.14774260000004], [93, -8.617892399999981, 41.14773180000004], [94, -8.61813112499998, 41.14772100000004], [95, -8.61836984999998, 41.14771020000004], [96, -8.618608574999978, 41.14769940000004], [97, -8.618847299999977, 41.147688600000045], [98, -8.619086024999977, 41.14767780000005], [99, -8.619324749999976, 41.14766700000005], [100, -8.619563474999975, 41.14765620000005], [101, -8.619802199999974, 41.14764540000005], [102, -8.620040924999973, 41.14763460000005], [103, -8.620279649999972, 41.147623800000055], [104, -8.620518374999971, 41.14761300000006], [105, -8.62075709999997, 41.14760220000006], [106, -8.62099582499997, 41.14759140000006], [107, -8.621234549999969, 41.14758060000006], [108, -8.621473274999968, 41.14756980000006], [109, -8.621711999999967, 41.14755900000007], [110, -8.621712, 41.147559], [111, -8.622027, 41.14765800000001], [112, -8.622342, 41.14775700000001], [113, -8.622342, 41.147757000000006], [114, -8.622588, 41.147829], [115, -8.622834000000001, 41.147901000000005], [116, -8.623080000000002, 41.14797300000001], [117, -8.623326000000002, 41.14804500000001], [118, -8.623572000000003, 41.14811700000001], [119, -8.623818000000004, 41.148189000000016], [120, -8.623818, 41.148189], [121, -8.6240538, 41.1482736], [122, -8.624289600000001, 41.1483582], [123, -8.624525400000001, 41.148442800000005], [124, -8.624761200000002, 41.148527400000006], [125, -8.624997000000002, 41.14861200000001], [126, -8.624997, 41.148612], [127, -8.6251125, 41.148795], [128, -8.625228, 41.148978], [129, -8.6253435, 41.149161], [130, -8.625459, 41.149344], [131, -8.625574499999999, 41.149527], [132, -8.625689999999999, 41.14971], [133, -8.62569, 41.14971], [134, -8.625720600000001, 41.1498981], [135, -8.625751200000002, 41.1500862], [136, -8.625781800000002, 41.15027430000001], [137, -8.625812400000003, 41.15046240000001], [138, -8.625843000000003, 41.15065050000001], [139, -8.625873600000004, 41.150838600000014], [140, -8.625904200000004, 41.15102670000002], [141, -8.625934800000005, 41.15121480000002], [142, -8.625965400000005, 41.15140290000002], [143, -8.625996000000006, 41.151591000000025], [144, -8.625996, 41.151591], [145, -8.626041, 41.1518115], [146, -8.626086, 41.152032], [147, -8.626131, 41.1522525], [148, -8.626176000000001, 41.15247299999999], [149, -8.626176000000001, 41.152473], [150, -8.626236, 41.152664]]",119.0
0,"[[8, -8.586963, 41.149071], [9, -8.5872135, 41.149134]]",14.0
0,"[[2, -8.585712000000001, 41.148747], [3, -8.585775, 41.148945], [4, -8.586036, 41.148981]]",18.0
0,"[[11, -8.593497, 41.150772]]",12.0
0,"[[9, -8.593497, 41.150763]]",12.0
0,"[[5, -8.593046999999999, 41.15067150000001]]",10.0
0,"[[5, -8.595261, 41.15528099999999], [6, -8.595261, 41.155281]]",12.0
0,"[[12, -8.626418999999999, 41.15234957142856]]",11.0
1,"[[0, -8.585685000000002, 41.1489], [1, -8.586018000000001, 41.148990000000005], [2, -8.586267750000001, 41.149017], [3, -8.586517500000001, 41.149044], [4, -8.586767250000001, 41.14907099999999], [5, -8.587017000000001, 41.14909799999999]]",17.0
3,"[[19, -8.629821000000002, 41.158692], [20, -8.629923600000001, 41.1585192], [21, -8.630026200000001, 41.1583464], [22, -8.630128800000001, 41.1581736], [23, -8.630231400000001, 41.1580008], [24, -8.630334000000001, 41.157828], [25, -8.630334, 41.157828], [26, -8.6301855, 41.157639], [27, -8.630037, 41.15745], [28, -8.6298885, 41.157261000000005], [29, -8.62974, 41.15707200000001]]",20.0
0,"[[101, -8.615763, 41.14539899999998], [102, -8.615763, 41.145399]]",16.0
0,"[[86, -8.6177175, 41.1461655], [87, -8.617664999999999, 41.145987000000005]]",11.0
2,"[[0, -8.585730000000002, 41.148513], [1, -8.585747999999999, 41.148846], [2, -8.585973, 41.148945], [3, -8.586198, 41.149044], [4, -8.586234000000001, 41.1489]]",14.0
0,"[[1, -8.585730000000002, 41.148756], [2, -8.585721, 41.148954], [3, -8.586063000000001, 41.148981], [4, -8.586153, 41.148801000000006]]",14.0
7,"[[26, -8.610903, 41.148297], [27, -8.610831000000001, 41.148486], [28, -8.610759000000002, 41.148675], [29, -8.610687000000002, 41.148864], [30, -8.610687, 41.148864], [31, -8.610642000000002, 41.148909], [32, -8.610525, 41.149125000000005], [33, -8.610408, 41.14934100000001], [34, -8.610290999999998, 41.14955700000001], [35, -8.610291, 41.149557], [36, -8.6102622, 41.1497478], [37, -8.610233399999998, 41.1499386], [38, -8.610204599999998, 41.1501294], [39, -8.610175799999997, 41.1503202], [40, -8.610146999999996, 41.150511], [41, -8.610147, 41.15051100000001], [42, -8.6099985, 41.15074050000001], [43, -8.60985, 41.150970000000015], [44, -8.60985, 41.15097000000001], [45, -8.60982975, 41.15118825], [46, -8.609809499999999, 41.15140650000001], [47, -8.609789249999999, 41.15162475000001], [48, -8.609768999999998, 41.151843000000014], [49, -8.609769, 41.15184300000001], [50, -8.609811, 41.15204250000001], [51, -8.609853000000001, 41.15224200000001], [52, -8.609895000000002, 41.15244150000001], [53, -8.609937000000002, 41.15264100000001], [54, -8.609979000000003, 41.15284050000001], [55, -8.610021000000003, 41.15304000000001], [56, -8.610021, 41.15304], [57, -8.6099895, 41.15324700000001], [58, -8.609957999999999, 41.15345400000001], [59, -8.609926499999998, 41.153661000000014], [60, -8.609894999999998, 41.15386800000002], [61, -8.609863499999998, 41.15407500000002], [62, -8.609831999999997, 41.15428200000002]]",52.0
12,"[[2, -8.61084, 41.145903], [3, -8.610723, 41.14602], [4, -8.610471, 41.146191], [5, -8.610219, 41.146362], [6, -8.610218999999999, 41.146362], [7, -8.609957999999999, 41.146542], [8, -8.60967, 41.146695], [9, -8.609346, 41.146767], [10, -8.609098500000002, 41.1469515], [11, -8.608851000000001, 41.147136], [12, -8.60886, 41.147199], [13, -8.609013, 41.147433], [14, -8.609301, 41.1475545], [15, -8.609589000000001, 41.147676], [16, -8.60985675, 41.147721], [17, -8.6101245, 41.147766], [18, -8.610392249999999, 41.147811], [19, -8.610659999999998, 41.147856], [20, -8.61066, 41.147856], [21, -8.610714000000002, 41.147802], [22, -8.610777, 41.147694], [23, -8.610819000000001, 41.147895], [24, -8.610861000000002, 41.148096]]",33.0
1,"[[52, -8.612091, 41.153922], [53, -8.6121255, 41.154126000000005], [54, -8.61216, 41.15433], [55, -8.6121945, 41.154534]]",14.0
0,"[[27, -8.614413, 41.14215]]",13.0
0,"[[24, -8.614413, 41.141649]]",13.0
0,"[[21, -8.614232999999999, 41.14120499999999], [22, -8.614233, 41.14120499999999]]",11.0
1,"[[0, -8.609634000000002, 41.151267], [2, -8.6097465, 41.1515145], [3, -8.609841, 41.151753]]",21.0
