,polyline,value
0,"[[22, 41.147154, -8.586575999999999], [23, 41.14715400000001, -8.586575999999999], [24, 41.14709500000001, -8.586388], [25, 41.14703600000001, -8.5862], [26, 41.14697700000001, -8.586012], [27, 41.14691800000001, -8.585824], [28, 41.146859000000006, -8.585636000000001], [29, 41.146800000000006, -8.585448000000001], [30, 41.146741000000006, -8.585260000000002], [31, 41.146682000000006, -8.585072000000002], [32, 41.146623000000005, -8.584884000000002]]",20.0
1,"[[2, 41.148855000000005, -8.585685000000002], [3, 41.14892699999999, -8.585730000000002], [4, 41.148963, -8.585982], [5, 41.1489585, -8.586189000000001], [6, 41.148954, -8.586396]]",23.0
0,"[[100, 41.159943000000005, -8.604513000000006], [101, 41.159943000000005, -8.604513]]",12.0
0,"[[43, 41.1508095, -8.606907], [44, 41.15097899999999, -8.606817]]",12.0
0,"[[35, 41.149899000000005, -8.607348], [36, 41.149899000000005, -8.607348000000002], [37, 41.149899000000005, -8.607393]]",23.0
6,"[[2, 41.145768, -8.610903], [3, 41.145909, -8.61075], [4, 41.14605, -8.610596999999999], [5, 41.146191, -8.610443999999998], [6, 41.146191, -8.610444], [7, 41.1462855, -8.610277499999999], [8, 41.14638, -8.610111], [9, 41.1464745, -8.609944500000001], [10, 41.14656900000001, -8.609778000000002], [11, 41.14666350000001, -8.609611500000003], [12, 41.14675800000001, -8.609445000000004], [13, 41.146758, -8.609445000000001], [14, 41.146878, -8.609262000000001], [15, 41.146998, -8.609079000000001], [16, 41.147118000000006, -8.608896000000001], [17, 41.147118, -8.608896], [18, 41.147127, -8.608968], [19, 41.1473295, -8.6088375], [20, 41.147532, -8.608706999999999], [21, 41.147532000000005, -8.608707]]",29.0
0,"[[212, 41.165739, -8.577341999999998], [213, 41.165739, -8.577342]]",12.0
0,"[[169, 41.160816, -8.581499999999993], [170, 41.160816, -8.5815]]",14.0
0,"[[141, 41.156487, -8.582985000000004], [142, 41.156487, -8.582985]]",14.0
0,"[[123, 41.153832, -8.582021999999998], [124, 41.153832, -8.582022]]",14.0
1,"[[1, 41.148828, -8.585730000000002], [2, 41.14897200000001, -8.585721], [3, 41.148987000000005, -8.58591], [4, 41.149002, -8.586099], [5, 41.149017, -8.586288000000001], [6, 41.14901700000001, -8.586288]]",22.0
0,"[[6, 41.140926, -8.615088000000002], [7, 41.140926, -8.615088]]",11.0
0,"[[114, 41.152923, -8.581185000000001], [115, 41.152923, -8.581185]]",16.0
0,"[[110, 41.1525, -8.580681000000002], [111, 41.1525, -8.580681]]",16.0
0,"[[105, 41.152005, -8.580069000000003], [106, 41.152005, -8.580069]]",16.0
0,"[[99, 41.151312, -8.579303999999997], [100, 41.151312, -8.579303999999999]]",16.0
0,"[[79, 41.14809, -8.579502000000003], [80, 41.14809, -8.579502]]",18.0
0,"[[70, 41.146515, -8.579745000000003], [71, 41.146515, -8.579745]]",16.0
1,"[[1, 41.1489, -8.585640000000001], [2, 41.148945, -8.585919], [3, 41.14893599999999, -8.586144], [4, 41.14892699999999, -8.586369000000001]]",18.0
0,"[[40, 41.14373, -8.604767]]",11.0
0,"[[36, 41.143131, -8.605323000000002], [37, 41.143446, -8.605188], [38, 41.143536, -8.605170000000001]]",12.0
0,"[[30, 41.1427818, -8.606104199999997], [31, 41.14283759999999, -8.605913399999997], [32, 41.14289339999999, -8.605722599999996], [33, 41.14294919999999, -8.605531799999996], [34, 41.14300499999999, -8.605340999999996]]",14.0
0,"[[1, 41.144724, -8.606673], [4, 41.144724, -8.606708999999999]]",21.0
1,"[[309, 41.17766908695652, -8.593277869565217], [310, 41.17785417391304, -8.593265739130434], [311, 41.17803926086956, -8.593253608695651], [312, 41.17822434782608, -8.593241478260868], [313, 41.1784094347826, -8.593229347826085], [314, 41.17859452173912, -8.593217217391302], [315, 41.17877960869564, -8.59320508695652], [316, 41.17896469565216, -8.593192956521737], [317, 41.17914978260868, -8.593180826086954], [318, 41.1793348695652, -8.593168695652171], [319, 41.17951995652172, -8.593156565217388], [320, 41.17970504347824, -8.593144434782605], [321, 41.17989013043477, -8.593132304347822], [322, 41.18007521739128, -8.59312017391304], [323, 41.18026030434781, -8.593108043478257], [324, 41.180445391304325, -8.593095913043474], [325, 41.180630478260845, -8.59308378260869], [326, 41.180815565217365, -8.593071652173908], [327, 41.181000652173886, -8.593059521739125], [328, 41.181185739130406, -8.593047391304342], [329, 41.181370826086926, -8.59303526086956], [330, 41.18155591304345, -8.593023130434776], [331, 41.18174099999997, -8.593010999999994], [332, 41.181741, -8.593011], [333, 41.18191684615385, -8.593061884615386], [334, 41.18209269230769, -8.593112769230771], [335, 41.182268538461535, -8.593163653846156], [336, 41.18244438461538, -8.593214538461542], [337, 41.18262023076922, -8.593265423076927], [338, 41.18279607692307, -8.593316307692312], [339, 41.18297192307691, -8.593367192307698], [340, 41.18314776923076, -8.593418076923083], [341, 41.1833236153846, -8.593468961538468], [342, 41.183499461538446, -8.593519846153853], [343, 41.18367530769229, -8.593570730769239], [344, 41.183851153846135, -8.593621615384624], [345, 41.18402699999998, -8.59367250000001], [346, 41.18420284615382, -8.593723384615394], [347, 41.18437869230767, -8.59377426923078], [348, 41.18455453846151, -8.593825153846165], [349, 41.18473038461536, -8.59387603846155], [350, 41.1849062307692, -8.593926923076936], [351, 41.185082076923045, -8.59397780769232], [352, 41.18525792307689, -8.594028692307706], [353, 41.185433769230734, -8.594079576923091], [354, 41.18560961538458, -8.594130461538477], [355, 41.18578546153842, -8.594181346153862], [356, 41.18596130769227, -8.594232230769247], [357, 41.18613715384611, -8.594283115384632], [358, 41.18631299999996, -8.594334000000018], [359, 41.186313, -8.594334], [360, 41.18650077272727, -8.594316818181818], [361, 41.186688545454544, -8.594299636363637], [362, 41.18687631818182, -8.594282454545455]]",63.0
