,polyline,value
0,"[[3, 41.14892699999999, -8.585730000000002], [4, 41.148963, -8.585982], [5, 41.1489585, -8.586189000000001], [6, 41.148954, -8.586396]]",64.0
1,"[[5, 41.146191, -8.610443999999998], [6, 41.146191, -8.610444], [7, 41.1462855, -8.610277499999999], [8, 41.14638, -8.610111], [9, 41.1464745, -8.609944500000001], [10, 41.14656900000001, -8.609778000000002], [11, 41.14666350000001, -8.609611500000003], [12, 41.14675800000001, -8.609445000000004], [13, 41.146758, -8.609445000000001], [14, 41.146878, -8.609262000000001], [15, 41.146998, -8.609079000000001], [18, 41.147127, -8.608968], [19, 41.1473295, -8.6088375]]",55.0
0,"[[1, 41.148828, -8.585730000000002], [2, 41.14897200000001, -8.585721], [3, 41.148987000000005, -8.58591], [4, 41.149002, -8.586099], [5, 41.149017, -8.586288000000001], [6, 41.14901700000001, -8.586288]]",63.0
0,"[[1, 41.1489, -8.585640000000001], [2, 41.148945, -8.585919], [3, 41.14893599999999, -8.586144], [4, 41.14892699999999, -8.586369000000001]]",58.0
0,"[[1, 41.144724, -8.606673], [2, 41.144706, -8.606799], [3, 41.144679, -8.60679], [4, 41.144724, -8.606708999999999]]",37.0
0,"[[7, 41.148936000000006, -8.585775], [8, 41.14896300000001, -8.586036], [9, 41.14899000000001, -8.586297], [10, 41.148990000000005, -8.586297]]",55.0
0,"[[4, 41.148954, -8.585837999999999], [5, 41.14897200000001, -8.586063000000001], [6, 41.14897200000001, -8.586170999999998]]",54.0
0,"[[7, 41.15084400000001, -8.593388999999997], [8, 41.150844, -8.593389], [9, 41.150814, -8.5935825]]",36.0
1,"[[247, 41.145966, -8.613639000000001], [248, 41.145966, -8.613666], [256, 41.145966, -8.612468999999999], [257, 41.146002, -8.612442], [258, 41.14602, -8.612415], [259, 41.146032, -8.61222], [260, 41.146044, -8.612025000000001], [261, 41.146056, -8.611830000000001], [262, 41.146056, -8.61183]]",57.0
1,"[[228, 41.145237, -8.616609], [229, 41.1452145, -8.6164155], [230, 41.145192, -8.616222], [231, 41.14528425, -8.61601725], [232, 41.145376500000005, -8.6158125], [233, 41.145468750000006, -8.61560775], [234, 41.14556100000001, -8.615403], [235, 41.145561, -8.615403], [236, 41.1456225, -8.615215500000001], [237, 41.145684, -8.615028000000002]]",40.0
0,"[[219, 41.145993, -8.617905], [220, 41.145826500000005, -8.617774500000001], [221, 41.14566000000001, -8.617644000000002], [222, 41.14549350000001, -8.617513500000003], [224, 41.145327, -8.617383], [225, 41.1453045, -8.6171895]]",33.0
0,"[[188, 41.147713800000005, -8.622531000000002], [189, 41.14765800000001, -8.622324000000003], [190, 41.147658, -8.622324]]",30.0
0,"[[144, 41.152509, -8.626455], [145, 41.1525, -8.626473], [146, 41.15251799999999, -8.626401]]",48.0
0,"[[122, 41.1525426, -8.6301516], [123, 41.152532400000005, -8.6299704], [124, 41.15252220000001, -8.6297892], [125, 41.15251200000001, -8.629608], [126, 41.15250180000001, -8.6294268], [128, 41.15248140000001, -8.629064399999999], [129, 41.152471200000015, -8.628883199999999], [130, 41.15246100000002, -8.628701999999999], [131, 41.15245080000002, -8.628520799999999]]",36.0
0,"[[109, 41.15258550000002, -8.632298249999998], [110, 41.152590000000025, -8.632106999999998], [111, 41.15259450000003, -8.631915749999997], [112, 41.15259900000003, -8.631724499999997], [113, 41.15260350000003, -8.631533249999997], [114, 41.15260800000004, -8.631341999999997]]",33.0
0,"[[2, 41.16304414285714, -8.633316857142859], [3, 41.16289371428571, -8.633206285714287], [4, 41.16274328571428, -8.633095714285716]]",42.0
0,"[[13, 41.157453, -8.6302995], [14, 41.157339, -8.630148], [15, 41.157225, -8.6299965], [16, 41.15711099999999, -8.629845000000001], [17, 41.15699699999999, -8.629693500000002], [18, 41.15688299999999, -8.629542000000002]]",36.0
0,"[[7, 41.158305000000006, -8.630325000000001], [8, 41.15812050000001, -8.630356500000001], [9, 41.15793600000001, -8.630388], [10, 41.1577515, -8.630419499999999]]",37.0
